"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.001752,0.0011922,0.0011846,0.040263,0.010868,0.010861,0.0066915,-7.5788e-05,0.0066401,0.067488,-0.0089382,-0.008957,0.034796,-0.0003941,0.034528,0,0,0,0.043453,0.011063,0.007475,0.017989,0.020664,0.034355,2.1267e-06,0,0,0
0.0033744,0.0021433,0.0021296,0.035571,0.0061286,0.0061181,0.0047797,-9.7858e-06,0.0047364,0.063794,-0.012756,-0.012784,0.024855,-5.0886e-05,0.024629,0,0,0,0.037487,0.0063673,0.003964,0.016761,0.015939,0.032418,1.8204e-06,0.05,0,0
0.0063794,0.0036972,0.003676,0.028701,0.0010501,0.0010371,0.0019885,0.00015276,0.0019634,0.05615,-0.015743,-0.015776,0.01034,0.00079436,0.01021,0,0,0,0.029084,0.001288,0.00041607,0.014334,0.010263,0.028246,1.2147e-06,0.1,0,0
0.0089894,0.0047243,0.0047061,0.025229,0.0003936,0.0003818,0.00080009,0.00023255,0.00079573,0.049992,-0.014579,-0.01461,0.0041605,0.0012093,0.0041378,0,0,0,0.025305,0.00059365,0.00010499,0.0126,0.008668,0.02496,8.1093e-07,0.15,0,0
0.011379,0.0054513,0.0054484,0.023439,1.3385e-05,2.4781e-06,0.0003366,0.00019603,0.00035359,0.046869,-0.014038,-0.014067,0.0017503,0.0010194,0.0018387,0,0,0,0.023456,0.00020536,-0.00020614,0.011831,0.0078184,0.023459,6.6723e-07,0.2,0,0
0.013676,0.0059699,0.0059945,0.022781,-7.2314e-05,-8.2122e-05,9.8955e-05,0.00015717,0.00013576,0.045655,-0.013764,-0.01379,0.00051456,0.00081727,0.00070597,0,0,0,0.022784,8.6917e-05,-0.00024435,0.011514,0.0075423,0.022865,6.1585e-07,0.25,0,0
0.015944,0.0063368,0.0063994,0.022643,-9.8042e-05,-0.00010597,-3.2473e-05,0.0001219,2.0998e-05,0.045408,-0.013718,-0.013739,-0.00016886,0.00063386,0.00010919,0,0,0,0.022643,2.5934e-05,-0.00023048,0.011437,0.0074796,0.022747,6.0563e-07,0.3,0,0
0.018217,0.00659,0.0066986,0.022792,-9.8253e-05,-0.0001032,-0.00010749,9.1966e-05,-4.2304e-05,0.045705,-0.01381,-0.013823,-0.00055893,0.00047822,-0.00021998,0,0,0,0.022793,-4.9677e-06,-0.00019726,0.011495,0.0075302,0.022895,6.1718e-07,0.35,0,0
0.020515,0.0067589,0.006918,0.023093,-9.1125e-05,-9.1977e-05,-0.00014617,6.6421e-05,-7.5984e-05,0.046296,-0.013983,-0.013985,-0.00076008,0.00034539,-0.00039512,0,0,0,0.023095,-2.3391e-05,-0.00016107,0.011628,0.0076367,0.023187,6.4094e-07,0.4,0,0
0.022847,0.0068675,0.0070776,0.023464,-8.2191e-05,-7.8202e-05,-0.00015844,4.4647e-05,-9.1258e-05,0.047024,-0.014196,-0.014185,-0.00082391,0.00023216,-0.00047454,0,0,0,0.023466,-3.5106e-05,-0.00012692,0.011796,0.0077679,0.023547,6.7106e-07,0.45,0,0
0.025217,0.0069356,0.0071931,0.023847,-7.3476e-05,-6.4643e-05,-0.00015028,2.6548e-05,-9.4427e-05,0.047777,-0.014416,-0.014394,-0.00078148,0.00013805,-0.00049102,0,0,0,0.023849,-4.175e-05,-9.7905e-05,0.011973,0.007903,0.023919,7.032e-07,0.5,0,0
0.027624,0.0069797,0.007277,0.024202,-6.5234e-05,-5.2541e-05,-0.00012676,1.2431e-05,-8.9525e-05,0.048474,-0.01462,-0.014587,-0.00065917,6.4639e-05,-0.00046553,0,0,0,0.024203,-4.2529e-05,-7.6427e-05,0.01214,0.008028,0.024263,7.3383e-07,0.55,0,0
