"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.01768,0.0075773,0.0075773,0.0050348,0,0,0.11821,3.4694e-18,0,0.11782,0,0,0,0.019761,0.0054967,0.0075773,22.453,0.010945,0.013346,1.1216e-07,0,0,0
0.0023641,0.0023563,0.012658,0.00093051,0.0040765,0.0020083,0,0,0.1004,-0.036808,0,0.046994,0,0,0,0.012992,0.00059613,0.0040765,9.4531,0.0058883,0.011074,4.7227e-08,0.02,0,0
0.004016,0.0038289,0.0092782,0.00037955,0.0028973,0.00067503,0,0,0.074656,-0.029458,0,0.015796,0,0,0,0.0093291,0.00032863,0.0028973,4.3134,0.004185,0.0080304,1.7712e-08,0.04,0,0
0.0053504,0.0050874,0.0076695,-3.9683e-05,0.0022889,0.00041346,0,0,0.062952,-0.027245,0,0.009675,0,0,0,0.0076916,-6.1795e-05,0.0022889,3.0612,0.0033063,0.0068859,1.0418e-08,0.06,0,0
0.0065341,0.0061442,0.0068916,-9.3587e-05,0.0020394,0.00026115,0,0,0.05677,-0.024956,0,0.0061109,0,0,0,0.0069013,-0.00010334,0.0020394,2.1381,0.0029458,0.0062167,7.5798e-09,0.08,0,0
0.0076212,0.0070528,0.0063804,-0.00011788,0.0018787,0.00018603,0,0,0.052669,-0.02336,0,0.004353,0,0,0,0.0063857,-0.0001232,0.0018787,1.6384,0.0027137,0.0057743,6.031e-09,0.1,0,0
0.0086409,0.0078359,0.0060188,-0.00012215,0.001769,0.00013947,0,0,0.049723,-0.022127,0,0.0032637,0,0,0,0.006022,-0.00012532,0.001769,1.3004,0.0025552,0.0054528,5.0659e-09,0.12,0,0
0.0096101,0.0085097,0.0057437,-0.000122,0.0016865,0.00010924,0,0,0.047469,-0.02116,0,0.0025563,0,0,0,0.0057458,-0.00012403,0.0016865,1.0666,0.0024361,0.0052063,4.4037e-09,0.14,0,0
0.01054,0.009085,0.0055256,-0.00011998,0.0016217,8.8187e-05,0,0,0.045676,-0.020377,0,0.0020636,0,0,0,0.005527,-0.00012135,0.0016217,0.8947,0.0023424,0.0050097,3.921e-09,0.16,0,0
0.011437,0.0095695,0.0053473,-0.00011749,0.0015689,7.2659e-05,0,0,0.044207,-0.019731,0,0.0017002,0,0,0,0.0053483,-0.00011846,0.0015689,0.76162,0.0022663,0.0048485,3.5535e-09,0.18,0,0
0.012308,0.0099683,0.0051992,-0.00011492,0.0015253,6.0364e-05,0,0,0.042985,-0.01919,0,0.0014125,0,0,0,0.0051999,-0.0001156,0.0015253,0.65072,0.0022032,0.0047143,3.2661e-09,0.2,0,0
0.013156,0.010285,0.0050761,-0.0001123,0.0014892,4.9756e-05,0,0,0.041968,-0.018737,0,0.0011643,0,0,0,0.0050766,-0.00011278,0.0014892,0.54938,0.002151,0.0046025,3.0393e-09,0.22,0,0
