"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.08585,0.036793,0.036793,0.024012,0,0,0.12755,-6.9389e-18,0,0.12486,0,0,0,0.095647,0.026996,0.036793,22.195,0.053145,0.064314,1.2601e-05,0,0,0
0.0012755,0.0012486,0.061887,0.004482,0.019911,0.00949,0,0,0.10914,-0.040115,0,0.049348,0,0,0,0.063415,0.0029539,0.019911,9.1477,0.02876,0.054018,5.4873e-06,0.01,0,0
0.0021828,0.0020352,0.046222,0.0019833,0.014462,0.0031235,0,0,0.082578,-0.032444,0,0.016242,0,0,0,0.046442,0.0017638,0.014462,4.0188,0.020889,0.039875,2.1779e-06,0.02,0,0
0.002927,0.0027269,0.038788,3.3378e-05,0.011646,0.0019222,0,0,0.070568,-0.030194,0,0.0099952,0,0,0,0.038883,-6.1724e-05,0.011646,2.8325,0.016822,0.034609,1.3368e-06,0.03,0,0
0.0035941,0.0033314,0.035188,-0.00019581,0.010498,0.0012231,0,0,0.064195,-0.027803,0,0.00636,0,0,0,0.03523,-0.00023804,0.010498,1.9773,0.015163,0.031503,9.9978e-07,0.04,0,0
0.0042109,0.003877,0.032789,-0.00030016,0.0097467,0.00087976,0,0,0.05991,-0.026122,0,0.0045748,0,0,0,0.032813,-0.00032354,0.0097467,1.5219,0.014079,0.029423,8.1039e-07,0.05,0,0
0.0047923,0.0043753,0.031074,-0.00031526,0.0092277,0.00066372,0,0,0.056801,-0.024812,0,0.0034514,0,0,0,0.031088,-0.00032929,0.0092277,1.2108,0.013329,0.027895,6.8975e-07,0.06,0,0
0.005347,0.0048344,0.029764,-0.00031169,0.0088358,0.00052014,0,0,0.054414,-0.023783,0,0.0027047,0,0,0,0.029773,-0.00032069,0.0088358,0.99048,0.012763,0.02672,6.0599e-07,0.07,0,0
0.0058806,0.0052599,0.028731,-0.00029981,0.0085293,0.00041772,0,0,0.052524,-0.022956,0,0.0021721,0,0,0,0.028737,-0.00030582,0.0085293,0.8242,0.01232,0.025786,5.448e-07,0.08,0,0
0.0063974,0.0056557,0.027896,-0.00028567,0.0082831,0.00034155,0,0,0.050993,-0.022279,0,0.001776,0,0,0,0.0279,-0.00028981,0.0082831,0.69427,0.011964,0.02503,4.9845e-07,0.09,0,0
0.0069005,0.006025,0.027211,-0.0002712,0.0080818,0.00028294,0,0,0.049735,-0.021718,0,0.0014713,0,0,0,0.027214,-0.00027412,0.0080818,0.5898,0.011674,0.024407,4.624e-07,0.1,0,0
0.0073921,0.0063702,0.026642,-0.00025726,0.0079153,0.00023664,0,0,0.048689,-0.021249,0,0.0012305,0,0,0,0.026644,-0.00025935,0.0079153,0.50401,0.011433,0.023889,4.3382e-07,0.11,0,0
0.0078743,0.0066933,0.026166,-0.00024416,0.0077765,0.00019929,0,0,0.047812,-0.020854,0,0.0010363,0,0,0,0.026167,-0.00024566,0.0077765,0.43233,0.011233,0.023454,4.108e-07,0.12,0,0
0.0083484,0.006996,0.025765,-0.00023197,0.00766,0.00016863,0,0,0.047074,-0.020519,0,0.00087688,0,0,0,0.025766,-0.00023307,0.00766,0.37163,0.011064,0.023088,3.9206e-07,0.13,0,0
0.0088157,0.0072799,0.025427,-0.00022069,0.0075619,0.00014308,0,0,0.046449,-0.020235,0,0.00074403,0,0,0,0.025428,-0.00022149,0.0075619,0.31963,0.010923,0.022778,3.7669e-07,0.14,0,0
0.0092774,0.007546,0.025141,-0.00021026,0.0074793,0.00012152,0,0,0.045921,-0.019993,0,0.00063193,0,0,0,0.025142,-0.00021084,0.0074793,0.27464,0.010803,0.022515,3.64e-07,0.15,0,0
