"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.070764,0.030327,0.030327,0.020053,0,0,0.10514,-3.4694e-18,0,0.10428,0,0,0,0.079022,0.022069,0.030327,22.383,0.043806,0.053306,7.154e-06,0,0,0
0.0010513,0.0010428,0.050774,0.0037415,0.016355,0.0079744,0,0,0.089491,-0.032794,0,0.041467,0,0,0,0.052089,0.0024262,0.016355,9.3659,0.023623,0.04437,3.041e-06,0.01,0,0
0.0017898,0.0017004,0.037412,0.0015931,0.011702,0.0026755,0,0,0.066847,-0.026282,0,0.013912,0,0,0,0.037611,0.0013944,0.011702,4.2483,0.016902,0.03232,1.158e-06,0.02,0,0
0.0023883,0.0022707,0.031029,-6.198e-05,0.00929,0.0016412,0,0,0.05652,-0.024315,0,0.0085341,0,0,0,0.031115,-0.00014837,0.00929,3.0133,0.013419,0.027774,6.8732e-07,0.03,0,0
0.0029202,0.0027584,0.027944,-0.00027069,0.0083019,0.001028,0,0,0.051069,-0.022289,0,0.0053455,0,0,0,0.027981,-0.00030809,0.0083019,2.0838,0.011992,0.025117,5.0314e-07,0.04,0,0
0.0034097,0.0031863,0.025949,-0.00036439,0.0076753,0.00071295,0,0,0.047511,-0.020903,0,0.0037073,0,0,0,0.025968,-0.00038369,0.0076753,1.5509,0.011086,0.023388,4.0373e-07,0.05,0,0
0.0038704,0.0035637,0.024601,-0.0003774,0.0072671,0.00050574,0,0,0.045068,-0.019876,0,0.0026298,0,0,0,0.024611,-0.00038764,0.0072671,1.1594,0.010497,0.022185,3.4404e-07,0.06,0,0
0.004311,0.0038976,0.023661,-0.00037027,0.0069874,0.00036039,0,0,0.043353,-0.01913,0,0.001874,0,0,0,0.023667,-0.00037568,0.0069874,0.85896,0.010093,0.021336,3.0598e-07,0.07,0,0
0.0047375,0.0041932,0.023018,-0.00035264,0.0067996,0.00025085,0,0,0.042168,-0.018596,0,0.0013044,0,0,0,0.023021,-0.00035533,0.0067996,0.61489,0.0098217,0.020746,2.8147e-07,0.08,0,0
0.0051544,0.0044543,0.022601,-0.00033012,0.0066814,0.00016487,0,0,0.041392,-0.01823,0,0.00085733,0,0,0,0.022603,-0.00033131,0.0066814,0.41191,0.0096509,0.020355,2.6619e-07,0.09,0,0
0.0055653,0.0046846,0.022365,-0.00030477,0.0066182,9.5469e-05,0,0,0.040943,-0.018,0,0.00049644,0,0,0,0.022366,-0.00030517,0.0066182,0.24128,0.0095596,0.020123,2.5765e-07,0.1,0,0
0.0059732,0.0048873,0.022277,-0.00027767,0.0065998,3.8576e-05,0,0,0.040761,-0.017881,0,0.0002006,0,0,0,0.022277,-0.00027774,0.0065998,0.097995,0.009533,0.020022,2.5428e-07,0.11,0,0
0.0063805,0.0050653,0.02231,-0.00024944,0.0066181,-8.3062e-06,0,0,0.040799,-0.017856,0,-4.3192e-05,0,0,0,0.02231,-0.00024944,0.0066181,-0.021096,0.0095595,0.020029,2.5507e-07,0.12,0,0
0.0067892,0.0052216,0.022443,-0.00022051,0.0066667,-4.6767e-05,0,0,0.041018,-0.017907,0,-0.00024319,0,0,0,0.022443,-0.0002206,0.0066667,-0.11823,0.0096297,0.020124,2.593e-07,0.13,0,0
0.0072009,0.005359,0.022657,-0.00019125,0.0067397,-7.7864e-05,0,0,0.041385,-0.01802,0,-0.00040489,0,0,0,0.022657,-0.00019152,0.0067397,-0.19525,0.0097351,0.020291,2.6641e-07,0.14,0,0
0.0076169,0.0054802,0.022936,-0.00016203,0.006832,-0.00010235,0,0,0.041869,-0.018184,0,-0.00053221,0,0,0,0.022936,-0.00016248,0.006832,-0.25388,0.0098685,0.020516,2.7597e-07,0.15,0,0
0.0080383,0.0055881,0.023263,-0.00013318,0.0069389,-0.00012081,0,0,0.042443,-0.018388,0,-0.0006282,0,0,0,0.023264,-0.00013381,0.0069389,-0.29584,0.010023,0.020784,2.8756e-07,0.16,0,0
0.0084658,0.005685,0.023625,-0.00010507,0.0070561,-0.00013376,0,0,0.04308,-0.018619,0,-0.00069556,0,0,0,0.023626,-0.00010582,0.0070561,-0.32295,0.010192,0.021084,3.0081e-07,0.17,0,0
0.0088999,0.0057737,0.024009,-7.8029e-05,0.0071794,-0.00014171,0,0,0.043758,-0.018869,0,-0.00073689,0,0,0,0.02401,-7.8863e-05,0.0071794,-0.33707,0.01037,0.021404,3.1532e-07,0.18,0,0
0.0093409,0.0058564,0.024403,-5.24e-05,0.0073052,-0.00014517,0,0,0.044455,-0.01913,0,-0.00075487,0,0,0,0.024404,-5.3261e-05,0.0073052,-0.34009,0.010552,0.021733,3.3071e-07,0.19,0,0
0.009789,0.0059353,0.024796,-2.8494e-05,0.0074303,-0.00014466,0,0,0.045151,-0.019393,0,-0.00075223,0,0,0,0.024797,-2.9337e-05,0.0074303,-0.33386,0.010733,0.022064,3.4658e-07,0.2,0,0
0.010244,0.0060127,0.02518,-6.6009e-06,0.0075519,-0.00014072,0,0,0.045832,-0.019652,0,-0.00073175,0,0,0,0.02518,-7.3871e-06,0.0075519,-0.32011,0.010908,0.022387,3.6255e-07,0.21,0,0
0.010706,0.0060902,0.025545,1.3023e-05,0.0076673,-0.00013387,0,0,0.046481,-0.019901,0,-0.0006961,0,0,0,0.025545,1.2322e-05,0.0076673,-0.3004,0.011075,0.022696,3.7824e-07,0.22,0,0
0.011174,0.0061696,0.025885,3.0165e-05,0.0077747,-0.00012458,0,0,0.047088,-0.020136,0,-0.00064784,0,0,0,0.025886,2.9565e-05,0.0077747,-0.27607,0.01123,0.022985,3.9329e-07,0.23,0,0
0.011647,0.0062522,0.026196,4.4661e-05,0.0078723,-0.00011332,0,0,0.047642,-0.020352,0,-0.00058927,0,0,0,0.026197,4.4171e-05,0.0078723,-0.24827,0.011371,0.023249,4.0739e-07,0.24,0,0
0.012126,0.0063393,0.026473,5.641e-05,0.0079588,-0.00010049,0,0,0.048136,-0.020546,0,-0.00052254,0,0,0,0.026473,5.6027e-05,0.0079588,-0.21795,0.011496,0.023485,4.2022e-07,0.25,0,0
0.01261,0.0064318,0.026712,6.5372e-05,0.0080331,-8.6482e-05,0,0,0.048564,-0.020716,0,-0.00044971,0,0,0,0.026712,6.5092e-05,0.0080331,-0.18596,0.011603,0.02369,4.3154e-07,0.26,0,0
0.013098,0.0065304,0.026911,7.1577e-05,0.0080947,-7.1695e-05,0,0,0.048921,-0.02086,0,-0.00037281,0,0,0,0.026911,7.1385e-05,0.0080947,-0.15305,0.011692,0.023862,4.4115e-07,0.27,0,0
0.013588,0.0066357,0.027069,7.5113e-05,0.0081431,-5.6536e-05,0,0,0.049206,-0.020977,0,-0.00029399,0,0,0,0.027069,7.4994e-05,0.0081431,-0.12,0.011762,0.023999,4.489e-07,0.28,0,0
0.014082,0.0067478,0.027185,7.6122e-05,0.0081784,-4.1434e-05,0,0,0.049418,-0.021066,0,-0.00021546,0,0,0,0.027185,7.6059e-05,0.0081784,-0.087571,0.011813,0.024102,4.5472e-07,0.29,0,0
0.014577,0.0068669,0.027262,7.4796e-05,0.008201,-2.6824e-05,0,0,0.049558,-0.021128,0,-0.00013948,0,0,0,0.027262,7.4769e-05,0.008201,-0.05653,0.011846,0.024171,4.586e-07,0.3,0,0
0.015073,0.0069927,0.0273,7.136e-05,0.0082115,-1.3128e-05,0,0,0.049631,-0.021164,0,-6.8267e-05,0,0,0,0.0273,7.1354e-05,0.0082115,-0.027625,0.011861,0.024208,4.6061e-07,0.31,0,0
0.01557,0.0071249,0.027304,6.6075e-05,0.008211,-7.2817e-07,0,0,0.049642,-0.021177,0,-3.7865e-06,0,0,0,0.027304,6.6075e-05,0.008211,-0.0015317,0.01186,0.024216,4.6089e-07,0.32,0,0
0.016066,0.007263,0.027277,5.9229e-05,0.0082008,1.0062e-05,0,0,0.049598,-0.021168,0,5.2323e-05,0,0,0,0.027277,5.9225e-05,0.0082008,0.021182,0.011846,0.024197,4.5964e-07,0.33,0,0
0.016561,0.0074062,0.027224,5.1124e-05,0.0081825,1.9013e-05,0,0,0.049508,-0.021142,0,9.8866e-05,0,0,0,0.027224,5.1111e-05,0.0081825,0.04009,0.011819,0.024156,4.5711e-07,0.34,0,0
0.017056,0.0075539,0.02715,4.2077e-05,0.0081576,2.5988e-05,0,0,0.04938,-0.021101,0,0.00013514,0,0,0,0.02715,4.2052e-05,0.0081576,0.054928,0.011783,0.024098,4.5356e-07,0.35,0,0
0.017549,0.0077051,0.027061,3.2398e-05,0.008128,3.0946e-05,0,0,0.049226,-0.021049,0,0.00016092,0,0,0,0.027061,3.2363e-05,0.008128,0.065599,0.01174,0.024027,4.4929e-07,0.36,0,0
0.018041,0.007859,0.026962,2.2389e-05,0.0080954,3.3931e-05,0,0,0.049054,-0.02099,0,0.00017644,0,0,0,0.026962,2.2347e-05,0.0080954,0.072164,0.011693,0.023947,4.4456e-07,0.37,0,0
0.01853,0.0080146,0.026859,1.2327e-05,0.0080613,3.506e-05,0,0,0.048873,-0.020927,0,0.00018231,0,0,0,0.026859,1.2281e-05,0.0080613,0.074826,0.011644,0.023863,4.3963e-07,0.38,0,0
0.019018,0.0081712,0.026755,2.4571e-06,0.0080273,3.451e-05,0,0,0.048692,-0.020865,0,0.00017945,0,0,0,0.026755,2.4125e-06,0.0080273,0.07391,0.011595,0.023779,4.3474e-07,0.39,0,0
0.019504,0.0083277,0.026656,-7.0098e-06,0.0079946,3.2498e-05,0,0,0.048519,-0.020804,0,0.00016899,0,0,0,0.026656,-7.0494e-06,0.0079946,0.069834,0.011548,0.023698,4.3008e-07,0.4,0,0
0.019988,0.0084834,0.026564,-1.5903e-05,0.0079645,2.9266e-05,0,0,0.048359,-0.020749,0,0.00015218,0,0,0,0.026564,-1.5936e-05,0.0079645,0.063085,0.011504,0.023623,4.2581e-07,0.41,0,0
0.020471,0.0086376,0.026483,-2.4093e-05,0.0079377,2.5068e-05,0,0,0.048218,-0.020701,0,0.00013035,0,0,0,0.026483,-2.4117e-05,0.0079377,0.054185,0.011465,0.023558,4.2206e-07,0.42,0,0
0.020953,0.0087897,0.026415,-3.1489e-05,0.0079149,2.0158e-05,0,0,0.048099,-0.020661,0,0.00010482,0,0,0,0.026415,-3.1504e-05,0.0079149,0.043672,0.011433,0.023503,4.1892e-07,0.43,0,0
0.021433,0.0089389,0.02636,-3.8033e-05,0.0078966,1.4774e-05,0,0,0.048005,-0.02063,0,7.6822e-05,0,0,0,0.02636,-3.8042e-05,0.0078966,0.032065,0.011406,0.02346,4.1645e-07,0.44,0,0
0.021913,0.0090849,0.026321,-4.3704e-05,0.0078831,9.1357e-06,0,0,0.047938,-0.02061,0,4.7506e-05,0,0,0,0.026321,-4.3707e-05,0.0078831,0.019854,0.011387,0.023429,4.1468e-07,0.45,0,0
0.022392,0.0092273,0.026297,-4.8503e-05,0.0078745,3.4368e-06,0,0,0.047898,-0.0206,0,1.7871e-05,0,0,0,0.026297,-4.8504e-05,0.0078745,0.0074743,0.011374,0.023412,4.1363e-07,0.46,0,0
0.022871,0.0093657,0.026288,-5.2458e-05,0.0078706,-2.1608e-06,0,0,0.047885,-0.0206,0,-1.1236e-05,0,0,0,0.026288,-5.2458e-05,0.0078706,-0.0047002,0.011369,0.023407,4.1328e-07,0.47,0,0
0.02335,0.0094998,0.026294,-5.5613e-05,0.0078714,-7.526e-06,0,0,0.047898,-0.02061,0,-3.9135e-05,0,0,0,0.026294,-5.5615e-05,0.0078714,-0.016365,0.01137,0.023415,4.136e-07,0.48,0,0
0.023829,0.0096295,0.026313,-5.8023e-05,0.0078766,-1.2559e-05,0,0,0.047935,-0.02063,0,-6.5307e-05,0,0,0,0.026313,-5.8029e-05,0.0078766,-0.027287,0.011377,0.023434,4.1457e-07,0.49,0,0
0.024308,0.0097547,0.026346,-5.9755e-05,0.0078857,-1.7189e-05,0,0,0.047996,-0.020658,0,-8.9385e-05,0,0,0,0.026346,-5.9766e-05,0.0078857,-0.037298,0.01139,0.023464,4.1612e-07,0.5,0,0
0.024789,0.0098752,0.026389,-6.0879e-05,0.0078986,-2.1372e-05,0,0,0.048076,-0.020695,0,-0.00011113,0,0,0,0.026389,-6.0896e-05,0.0078986,-0.046295,0.011409,0.023504,4.1823e-07,0.51,0,0
0.02527,0.0099911,0.026444,-6.1467e-05,0.0079147,-2.5085e-05,0,0,0.048176,-0.020738,0,-0.00013044,0,0,0,0.026444,-6.1491e-05,0.0079147,-0.054225,0.011432,0.023553,4.2082e-07,0.52,0,0
0.025752,0.010102,0.026507,-6.1592e-05,0.0079337,-2.8323e-05,0,0,0.048291,-0.020788,0,-0.00014728,0,0,0,0.026507,-6.1622e-05,0.0079337,-0.061078,0.01146,0.023609,4.2385e-07,0.53,0,0
0.026236,0.010209,0.026578,-6.132e-05,0.0079551,-3.1096e-05,0,0,0.04842,-0.020843,0,-0.0001617,0,0,0,0.026578,-6.1357e-05,0.0079551,-0.066881,0.011491,0.023672,4.2727e-07,0.54,0,0
0.026721,0.010311,0.026656,-6.0717e-05,0.0079786,-3.3426e-05,0,0,0.048561,-0.020902,0,-0.00017381,0,0,0,0.026656,-6.0759e-05,0.0079786,-0.071684,0.011525,0.023741,4.3102e-07,0.55,0,0
0.027207,0.010409,0.026739,-5.9841e-05,0.0080038,-3.5339e-05,0,0,0.048712,-0.020966,0,-0.00018376,0,0,0,0.026739,-5.9887e-05,0.0080038,-0.075554,0.011561,0.023814,4.3505e-07,0.56,0,0
0.027695,0.010502,0.026827,-5.8743e-05,0.0080305,-3.6868e-05,0,0,0.048871,-0.021032,0,-0.00019171,0,0,0,0.026827,-5.8794e-05,0.0080305,-0.078568,0.0116,0.023891,4.3932e-07,0.57,0,0
0.028184,0.010591,0.026918,-5.7472e-05,0.0080582,-3.8046e-05,0,0,0.049036,-0.021101,0,-0.00019784,0,0,0,0.026918,-5.7525e-05,0.0080582,-0.08081,0.01164,0.023971,4.4379e-07,0.58,0,0
0.028675,0.010676,0.027012,-5.6066e-05,0.0080867,-3.891e-05,0,0,0.049205,-0.021171,0,-0.00020233,0,0,0,0.027012,-5.6122e-05,0.0080867,-0.082362,0.011681,0.024053,4.4841e-07,0.59,0,0
