"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.11283,0.048354,0.048354,0.031272,0,0,0.083814,-3.4694e-18,0,0.081307,0,0,0,0.1255,0.035678,0.048354,22.065,0.069845,0.084205,2.8336e-05,0,0,0
0.00083814,0.00081306,0.08152,0.0057313,0.026175,0.012319,0,0,0.071948,-0.026577,0,0.03203,0,0,0,0.083472,0.0037792,0.026175,9.0044,0.037809,0.071188,1.2534e-05,0.01,0,0
0.001439,0.0013153,0.061461,0.0024892,0.019185,0.003931,0,0,0.054959,-0.021705,0,0.010221,0,0,0,0.061722,0.0022283,0.019185,3.7969,0.027712,0.053087,5.124e-06,0.02,0,0
0.0019373,0.0017517,0.052194,-2.2495e-05,0.015651,0.0023607,0,0,0.047505,-0.020376,0,0.0061378,0,0,0,0.052301,-0.000129,0.015651,2.5833,0.022608,0.046589,3.2562e-06,0.03,0,0
0.0023891,0.0021296,0.047905,-0.0002875,0.014285,0.0014555,0,0,0.043705,-0.018944,0,0.0037842,0,0,0,0.047949,-0.00033141,0.014285,1.7283,0.020634,0.042882,2.5209e-06,0.04,0,0
0.0028114,0.0024685,0.045141,-0.00039864,0.013423,0.0010172,0,0,0.041234,-0.017968,0,0.0026448,0,0,0,0.045164,-0.00042135,0.013423,1.279,0.019388,0.04048,2.1121e-06,0.05,0,0
0.0032138,0.0027768,0.043235,-0.00039936,0.012851,0.00074476,0,0,0.0395,-0.017225,0,0.0019364,0,0,0,0.043248,-0.00041207,0.012851,0.97756,0.018562,0.038769,1.8549e-06,0.06,0,0
0.0036014,0.0030606,0.041827,-0.00038011,0.012434,0.00056596,0,0,0.038211,-0.016659,0,0.0014715,0,0,0,0.041835,-0.0003877,0.012434,0.7681,0.017961,0.037494,1.6785e-06,0.07,0,0
0.003978,0.0033239,0.040756,-0.00035308,0.012121,0.00043989,0,0,0.037225,-0.016216,0,0.0011437,0,0,0,0.04076,-0.00035778,0.012121,0.61301,0.017508,0.036515,1.5517e-06,0.08,0,0
0.0043459,0.0035694,0.039922,-0.00032529,0.011879,0.00034711,0,0,0.036456,-0.015866,0,0.0009025,0,0,0,0.039926,-0.00032828,0.011879,0.4941,0.017159,0.035749,1.4574e-06,0.09,0,0
0.0047071,0.0037997,0.039267,-0.00029868,0.01169,0.0002764,0,0,0.03585,-0.015586,0,0.00071864,0,0,0,0.039269,-0.00030061,0.01169,0.40023,0.016886,0.035143,1.3859e-06,0.1,0,0
0.0050629,0.0040165,0.038749,-0.00027395,0.011543,0.00022101,0,0,0.035368,-0.015361,0,0.00057463,0,0,0,0.03875,-0.0002752,0.011543,0.32449,0.016672,0.034662,1.3309e-06,0.11,0,0
0.0054145,0.0042212,0.038339,-0.0002512,0.011426,0.00017664,0,0,0.034986,-0.015181,0,0.00045926,0,0,0,0.03834,-0.00025201,0.011426,0.26226,0.016505,0.034279,1.2883e-06,0.12,0,0
0.0057627,0.0044152,0.038017,-0.00023031,0.011336,0.00014043,0,0,0.034685,-0.015036,0,0.00036513,0,0,0,0.038018,-0.00023083,0.011336,0.21037,0.016374,0.033975,1.2554e-06,0.13,0,0
0.0061082,0.0045996,0.037767,-0.0002111,0.011267,0.00011042,0,0,0.034451,-0.014921,0,0.00028709,0,0,0,0.037768,-0.00021142,0.011267,0.16658,0.016274,0.033737,1.2302e-06,0.14,0,0
0.0064516,0.0047752,0.037578,-0.00019336,0.011215,8.5202e-05,0,0,0.034271,-0.014831,0,0.00022153,0,0,0,0.037578,-0.00019356,0.011215,0.12924,0.0162,0.033555,1.2112e-06,0.15,0,0
0.0067936,0.004943,0.03744,-0.0001769,0.011179,6.3766e-05,0,0,0.034139,-0.014762,0,0.00016579,0,0,0,0.03744,-0.00017701,0.011179,0.097125,0.016147,0.033418,1.1974e-06,0.16,0,0
0.0071344,0.0051036,0.037345,-0.00016154,0.011155,4.5357e-05,0,0,0.034047,-0.014712,0,0.00011793,0,0,0,0.037345,-0.0001616,0.011155,0.069289,0.016113,0.033322,1.1878e-06,0.17,0,0
0.0074745,0.0052577,0.037288,-0.00014711,0.011142,2.9405e-05,0,0,0.03399,-0.014676,0,7.6454e-05,0,0,0,0.037288,-0.00014714,0.011142,0.045005,0.016095,0.03326,1.1819e-06,0.18,0,0
0.0078142,0.005406,0.037265,-0.00013348,0.011139,1.5471e-05,0,0,0.033963,-0.014655,0,4.0225e-05,0,0,0,0.037265,-0.00013349,0.011139,0.023703,0.01609,0.033228,1.1792e-06,0.19,0,0
0.0081538,0.005549,0.03727,-0.00012052,0.011145,3.2123e-06,0,0,0.033963,-0.014645,0,8.352e-06,0,0,0,0.03727,-0.00012052,0.011145,0.0049224,0.016098,0.033223,1.1793e-06,0.2,0,0
0.0084935,0.0056872,0.037301,-0.00010811,0.011158,-7.6426e-06,0,0,0.033986,-0.014646,0,-1.9871e-05,0,0,0,0.037301,-0.00010811,0.011158,-0.011705,0.016117,0.033241,1.1819e-06,0.21,0,0
0.0088335,0.0058211,0.037356,-9.6155e-05,0.011178,-1.7311e-05,0,0,0.034031,-0.014656,0,-4.5008e-05,0,0,0,0.037356,-9.6163e-05,0.011178,-0.026483,0.016146,0.033279,1.1866e-06,0.22,0,0
0.0091741,0.0059512,0.03743,-8.4563e-05,0.011204,-2.5969e-05,0,0,0.034095,-0.014675,0,-6.7518e-05,0,0,0,0.03743,-8.4581e-05,0.011204,-0.039661,0.016183,0.033336,1.1934e-06,0.23,0,0
0.0095154,0.006078,0.037524,-7.3246e-05,0.011235,-3.376e-05,0,0,0.034175,-0.014701,0,-8.7776e-05,0,0,0,0.037524,-7.3276e-05,0.011235,-0.051448,0.016229,0.033411,1.2019e-06,0.24,0,0
0.0098576,0.0062018,0.037634,-6.2122e-05,0.011272,-4.0805e-05,0,0,0.034271,-0.014734,0,-0.00010609,0,0,0,0.037634,-6.2166e-05,0.011272,-0.06202,0.016281,0.0335,1.2122e-06,0.25,0,0
0.010201,0.0063231,0.03776,-5.111e-05,0.011313,-4.7203e-05,0,0,0.034382,-0.014773,0,-0.00012273,0,0,0,0.03776,-5.1169e-05,0.011313,-0.071527,0.016341,0.033603,1.224e-06,0.26,0,0
