"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.086823,0.03721,0.03721,0.024233,0,0,0.12899,1.0408e-17,0,0.12601,0,0,0,0.096695,0.027338,0.03721,22.165,0.053747,0.064986,1.3006e-05,0,0,0
0.0012899,0.0012601,0.062633,0.0045212,0.020146,0.009568,0,0,0.11047,-0.040625,0,0.049754,0,0,0,0.064168,0.0029864,0.020146,9.1133,0.0291,0.054661,5.6853e-06,0.01,0,0
0.0022093,0.0020534,0.046879,0.0020105,0.014667,0.0031374,0,0,0.083752,-0.032907,0,0.016314,0,0,0,0.047098,0.0017922,0.014667,3.9805,0.021186,0.040436,2.2713e-06,0.02,0,0
0.002965,0.002752,0.039417,4.811e-05,0.011839,0.0019291,0,0,0.071701,-0.030658,0,0.010031,0,0,0,0.039511,-4.6191e-05,0.011839,2.7986,0.017101,0.035155,1.402e-06,0.03,0,0
0.0036433,0.0033642,0.035811,-0.0001793,0.010689,0.001227,0,0,0.065316,-0.028259,0,0.0063806,0,0,0,0.035853,-0.00022109,0.010689,1.9504,0.01544,0.032043,1.0531e-06,0.04,0,0
0.0042713,0.0039185,0.033407,-0.00028264,0.0099372,0.00088338,0,0,0.06102,-0.026572,0,0.0045936,0,0,0,0.03343,-0.00030579,0.0099372,1.501,0.014354,0.029958,8.5634e-07,0.05,0,0
0.0048638,0.0044268,0.031685,-0.00029687,0.0094164,0.00066749,0,0,0.057898,-0.025254,0,0.0034709,0,0,0,0.031699,-0.00031079,0.0094164,1.1951,0.013602,0.028423,7.3059e-07,0.06,0,0
0.0054293,0.0048972,0.030367,-0.00029284,0.0090221,0.0005242,0,0,0.055496,-0.024219,0,0.0027258,0,0,0,0.030375,-0.0003018,0.0090221,0.97923,0.013032,0.02724,6.4295e-07,0.07,0,0
0.0059737,0.0053354,0.029323,-0.00028076,0.0087128,0.00042203,0,0,0.053588,-0.023383,0,0.0021946,0,0,0,0.029329,-0.00028678,0.0087128,0.81658,0.012585,0.026298,5.7868e-07,0.08,0,0
0.006501,0.0057452,0.028478,-0.00026661,0.0084634,0.00034602,0,0,0.052038,-0.022698,0,0.0017993,0,0,0,0.028482,-0.00027077,0.0084634,0.68958,0.012225,0.025532,5.2982e-07,0.09,0,0
0.0070144,0.0061298,0.027782,-0.00025224,0.0082588,0.00028746,0,0,0.050759,-0.022129,0,0.0014948,0,0,0,0.027785,-0.00025519,0.0082588,0.58743,0.011929,0.0249,4.9168e-07,0.1,0,0
0.0075162,0.0064916,0.027202,-0.00023847,0.008089,0.00024112,0,0,0.049693,-0.021651,0,0.0012538,0,0,0,0.027204,-0.00024059,0.008089,0.50341,0.011684,0.024372,4.6132e-07,0.11,0,0
0.0080083,0.0068327,0.026715,-0.00022558,0.0079468,0.00020363,0,0,0.048797,-0.021248,0,0.0010589,0,0,0,0.026716,-0.00022712,0.0079468,0.43305,0.011479,0.023928,4.3681e-07,0.12,0,0
0.0084922,0.0071547,0.026304,-0.00021362,0.0078271,0.00017276,0,0,0.048039,-0.020906,0,0.00089838,0,0,0,0.026305,-0.00021475,0.0078271,0.37327,0.011306,0.023552,4.1679e-07,0.13,0,0
0.0089691,0.0074589,0.025956,-0.00020256,0.0077259,0.00014696,0,0,0.047397,-0.020614,0,0.00076418,0,0,0,0.025957,-0.00020339,0.0077259,0.32188,0.01116,0.023233,4.0031e-07,0.14,0,0
0.0094401,0.0077467,0.025661,-0.00019234,0.0076405,0.00012511,0,0,0.046853,-0.020366,0,0.00065056,0,0,0,0.025661,-0.00019294,0.0076405,0.27726,0.011036,0.022963,3.8668e-07,0.15,0,0
0.0099061,0.0080191,0.025411,-0.00018287,0.0075684,0.00010641,0,0,0.046391,-0.020153,0,0.00055333,0,0,0,0.025411,-0.00018331,0.0075684,0.23821,0.010932,0.022733,3.7537e-07,0.16,0,0
0.010368,0.008277,0.0252,-0.00017407,0.0075078,9.026e-05,0,0,0.046,-0.019973,0,0.00046935,0,0,0,0.025201,-0.00017439,0.0075078,0.20381,0.010845,0.022538,3.6598e-07,0.17,0,0
0.010826,0.0085213,0.025023,-0.00016587,0.0074572,7.6203e-05,0,0,0.045671,-0.01982,0,0.00039625,0,0,0,0.025023,-0.0001661,0.0074572,0.17333,0.010771,0.022374,3.5822e-07,0.18,0,0
0.011281,0.0087528,0.024876,-0.0001582,0.0074152,6.3886e-05,0,0,0.045397,-0.019691,0,0.00033221,0,0,0,0.024876,-0.00015837,0.0074152,0.14622,0.010711,0.022237,3.5181e-07,0.19,0,0
0.011734,0.0089721,0.024754,-0.00015102,0.0073809,5.3032e-05,0,0,0.04517,-0.019583,0,0.00027577,0,0,0,0.024754,-0.00015113,0.0073809,0.122,0.010661,0.022123,3.4658e-07,0.2,0,0
0.012185,0.0091798,0.024655,-0.00014426,0.0073533,4.3422e-05,0,0,0.044985,-0.019494,0,0.00022579,0,0,0,0.024656,-0.00014433,0.0073533,0.10032,0.010622,0.02203,3.4236e-07,0.21,0,0
0.012634,0.0093767,0.024577,-0.00013787,0.0073318,3.4879e-05,0,0,0.044838,-0.019421,0,0.00018137,0,0,0,0.024577,-0.00013792,0.0073318,0.080859,0.01059,0.021955,3.3903e-07,0.22,0,0
0.013081,0.0095631,0.024517,-0.00013184,0.0073156,2.7261e-05,0,0,0.044724,-0.019363,0,0.00014176,0,0,0,0.024517,-0.00013187,0.0073156,0.063367,0.010567,0.021897,3.3646e-07,0.23,0,0
0.013528,0.0097397,0.024473,-0.00012611,0.0073041,2.0449e-05,0,0,0.04464,-0.019319,0,0.00010634,0,0,0,0.024473,-0.00012612,0.0073041,0.04763,0.01055,0.021853,3.3458e-07,0.24,0,0
0.013974,0.0099068,0.024444,-0.00012066,0.0072969,1.4347e-05,0,0,0.044582,-0.019286,0,7.4605e-05,0,0,0,0.024444,-0.00012067,0.0072969,0.033464,0.01054,0.021823,3.333e-07,0.25,0,0
0.01442,0.010065,0.024428,-0.00011547,0.0072936,8.8727e-06,0,0,0.044548,-0.019264,0,4.6138e-05,0,0,0,0.024428,-0.00011548,0.0072936,0.020713,0.010535,0.021804,3.3256e-07,0.26,0,0
0.014865,0.010215,0.024423,-0.00011052,0.0072937,3.9571e-06,0,0,0.044536,-0.019251,0,2.0577e-05,0,0,0,0.024423,-0.00011052,0.0072937,0.0092415,0.010535,0.021796,3.323e-07,0.27,0,0
0.015311,0.010356,0.024429,-0.00010578,0.0072968,-4.5817e-07,0,0,0.044543,-0.019247,0,-2.3825e-06,0,0,0,0.024429,-0.00010578,0.0072968,-0.00107,0.01054,0.021797,3.3247e-07,0.28,0,0
0.015756,0.01049,0.024444,-0.00010124,0.0073028,-4.4233e-06,0,0,0.044567,-0.01925,0,-2.3001e-05,0,0,0,0.024444,-0.00010124,0.0073028,-0.010325,0.010548,0.021807,3.3302e-07,0.29,0,0
0.016202,0.010616,0.024467,-9.6892e-05,0.0073112,-7.9818e-06,0,0,0.044606,-0.019261,0,-4.1505e-05,0,0,0,0.024467,-9.6895e-05,0.0073112,-0.018617,0.010561,0.021825,3.3392e-07,0.3,0,0
0.016648,0.010735,0.024499,-9.2716e-05,0.0073218,-1.1171e-05,0,0,0.04466,-0.019278,0,-5.8092e-05,0,0,0,0.024499,-9.2721e-05,0.0073218,-0.026029,0.010576,0.021849,3.3514e-07,0.31,0,0
0.017095,0.010848,0.024536,-8.8703e-05,0.0073343,-1.4025e-05,0,0,0.044726,-0.0193,0,-7.2932e-05,0,0,0,0.024536,-8.8711e-05,0.0073343,-0.032633,0.010594,0.021879,3.3664e-07,0.32,0,0
0.017543,0.010954,0.024581,-8.4844e-05,0.0073487,-1.6573e-05,0,0,0.044803,-0.019327,0,-8.618e-05,0,0,0,0.024581,-8.4855e-05,0.0073487,-0.038498,0.010615,0.021915,3.3839e-07,0.33,0,0
0.017991,0.011054,0.02463,-8.1131e-05,0.0073646,-1.8841e-05,0,0,0.044889,-0.019359,0,-9.797e-05,0,0,0,0.02463,-8.1145e-05,0.0073646,-0.043684,0.010638,0.021956,3.4037e-07,0.34,0,0
0.01844,0.011148,0.024684,-7.7556e-05,0.0073819,-2.0851e-05,0,0,0.044985,-0.019394,0,-0.00010842,0,0,0,0.024684,-7.7574e-05,0.0073819,-0.048247,0.010663,0.022001,3.4256e-07,0.35,0,0
0.018891,0.011237,0.024742,-7.4112e-05,0.0074003,-2.2625e-05,0,0,0.045088,-0.019434,0,-0.00011765,0,0,0,0.024742,-7.4133e-05,0.0074003,-0.052237,0.010689,0.02205,3.4494e-07,0.36,0,0
0.019342,0.01132,0.024804,-7.0794e-05,0.0074199,-2.4182e-05,0,0,0.045198,-0.019476,0,-0.00012575,0,0,0,0.024804,-7.0818e-05,0.0074199,-0.0557,0.010718,0.022103,3.4748e-07,0.37,0,0
0.019795,0.011398,0.024869,-6.7597e-05,0.0074404,-2.5539e-05,0,0,0.045314,-0.019521,0,-0.0001328,0,0,0,0.024869,-6.7623e-05,0.0074404,-0.05868,0.010747,0.022158,3.5017e-07,0.38,0,0
0.020249,0.011471,0.024937,-6.4515e-05,0.0074616,-2.6711e-05,0,0,0.045435,-0.019568,0,-0.0001389,0,0,0,0.024937,-6.4543e-05,0.0074616,-0.061215,0.010778,0.022216,3.5299e-07,0.39,0,0
0.020703,0.01154,0.025007,-6.1544e-05,0.0074835,-2.7714e-05,0,0,0.04556,-0.019617,0,-0.00014411,0,0,0,0.025007,-6.1574e-05,0.0074835,-0.063343,0.010809,0.022276,3.5592e-07,0.4,0,0
0.02116,0.011605,0.025079,-5.868e-05,0.007506,-2.8559e-05,0,0,0.045689,-0.019668,0,-0.00014851,0,0,0,0.025079,-5.8712e-05,0.007506,-0.065096,0.010842,0.022337,3.5896e-07,0.41,0,0
0.021617,0.011665,0.025152,-5.5919e-05,0.0075289,-2.926e-05,0,0,0.045821,-0.01972,0,-0.00015215,0,0,0,0.025152,-5.5953e-05,0.0075289,-0.066506,0.010875,0.0224,3.6208e-07,0.42,0,0
