"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,1,-0.93173,-1.4925,-1.7273,2.125e-17,0,0,1.0342,0.30524,0,5.3776e-17,0,0,0.88893,4.3021e-16,0,0.88893,-0.93173,-1.4925,-1.7273,2.1714e-15,-1.3838,0.70796,0.011696,0,0,0
0.020684,0,0.98222,-0.9126,-1.452,-1.6916,0.0005147,0,0,1.0127,0.31147,0,0.0013382,0,0,0.89346,-0.0046739,0,0.89348,-0.9126,-1.452,-1.6916,0.054671,-1.3521,0.6911,0.01034,0.02,0,0
0.040508,0,0.96426,-0.92246,-1.4085,-1.6635,0.0013033,0,0,0.96341,0.33159,0,0.0033886,0,0,0.90664,-0.0089329,0,0.90668,-0.92245,-1.4085,-1.6635,0.15365,-1.3315,0.65211,0.0072499,0.04,0,0
0.05922,0,0.94596,-0.94048,-1.3495,-1.6329,0.0024492,0,0,0.90021,0.36848,0,0.0063679,0,0,0.92714,-0.012308,0,0.92722,-0.94047,-1.3495,-1.6329,0.34306,-1.3076,0.60299,0.003468,0.06,0,0
0.076517,0,0.92718,-0.96689,-1.2725,-1.599,0.0038068,0,0,0.82175,0.42441,0,0.0098978,0,0,0.95282,-0.014347,0,0.95293,-0.96684,-1.2726,-1.599,0.71348,-1.2795,0.54757,-0.00047751,0.08,0,0
0.09209,0,0.90784,-1.0002,-1.1785,-1.5615,0.0048795,0,0,0.72966,0.49778,0,0.012687,0,0,0.98092,-0.014789,0,0.98103,-1.0001,-1.1787,-1.5615,1.5658,-1.2467,0.4968,-0.0036631,0.1,0,0
0.1057,0,0.88794,-1.037,-1.0746,-1.5214,0.0051873,0,0,0.62975,0.58088,0,0.013487,0,0,1.0086,-0.013726,0,1.0087,-1.0363,-1.0753,-1.5214,7.7137,-1.211,0.46685,-0.005103,0.12,0,0
0.11728,0,0.8675,-1.0728,-0.97227,-1.481,0.004576,0,0,0.53069,0.66138,0,0.011898,0,0,1.0333,-0.011583,0,1.0334,-0.97206,-1.073,-1.481,87.399,-1.1754,0.46675,-0.0044101,0.14,0,0
0.12693,0,0.84661,-1.1032,-0.88273,-1.4424,0.0034742,0,0,0.44091,0.72757,0,0.009033,0,0,1.0536,-0.0089196,0,1.0537,-0.88267,-1.1033,-1.4424,89.098,-1.1428,0.48834,-0.0021342,0.16,0,0
0.13492,0,0.82535,-1.1252,-0.81236,-1.4066,0.0023989,0,0,0.36586,0.77253,0,0.0062372,0,0,1.0688,-0.0061838,0,1.0688,-0.81234,-1.1252,-1.4066,89.561,-1.1147,0.5149,0.00064161,0.18,0,0
0.14156,0,0.80385,-1.1374,-0.76271,-1.3739,0.0016787,0,0,0.30739,0.79455,0,0.0043646,0,0,1.0786,-0.0035886,0,1.0787,-0.7627,-1.1375,-1.3739,89.743,-1.0914,0.53381,0.0029682,0.2,0,0
0.14721,0,0.78221,-1.1402,-0.73252,-1.344,0.0012494,0,0,0.26501,0.79494,0,0.0032484,0,0,1.0834,-0.0011294,0,1.0834,-0.73252,-1.1402,-1.344,89.824,-1.0722,0.53929,0.0043489,0.22,0,0
0.15217,0,0.76052,-1.1341,-0.72002,-1.3168,0.00086134,0,0,0.23744,0.77576,0,0.0022395,0,0,1.0832,0.0013097,0,1.0832,-0.72002,-1.1341,-1.3168,89.881,-1.057,0.52959,0.0046824,0.24,0,0
0.15671,0,0.73888,-1.1201,-0.7237,-1.292,0.00027682,0,0,0.22351,0.73881,0,0.00071974,0,0,1.078,0.0038414,0,1.078,-0.7237,-1.1201,-1.292,89.96,-1.0453,0.5048,0.0041159,0.26,0,0
0.16111,0,0.7174,-1.0991,-0.74193,-1.2697,-0.00056163,0,0,0.22176,0.68613,0,-0.0014602,0,0,1.0677,0.0064643,0,1.0677,-0.74193,-1.0991,-1.2697,-89.91,-1.0369,0.46651,0.0029622,0.28,0,0
0.16558,0,0.69617,-1.073,-0.77147,-1.2495,-0.001412,0,0,0.2295,0.62144,0,-0.0036712,0,0,1.0525,0.0089672,0,1.0525,-0.77147,-1.073,-1.2495,-89.732,-1.0313,0.41868,0.0016377,0.3,0,0
0.17029,0,0.6753,-1.0442,-0.80657,-1.2305,-0.001942,0,0,0.24225,0.55114,0,-0.0050491,0,0,1.0331,0.010926,0,1.0332,-0.80655,-1.0442,-1.2305,-89.532,-1.0271,0.36806,0.00053196,0.32,0,0
0.17527,0,0.65485,-1.0158,-0.83956,-1.2114,-0.0018948,0,0,0.25438,0.48346,0,-0.0049265,0,0,1.0112,0.011839,0,1.0112,-0.83954,-1.0158,-1.2114,-89.384,-1.0223,0.32223,-0.00015498,0.34,0,0
0.18046,0,0.63485,-0.99054,-0.86377,-1.1911,-0.0013999,0,0,0.26079,0.42558,0,-0.0036398,0,0,0.98887,0.011374,0,0.98893,-0.86376,-0.99055,-1.1911,-89.367,-1.0151,0.28591,-0.00045445,0.36,0,0
0.1857,0,0.61529,-0.97039,-0.87623,-1.1693,-0.00070429,0,0,0.25855,0.38096,0,-0.0018311,0,0,0.96871,0.0095544,0,0.96876,-0.87622,-0.9704,-1.1693,-89.572,-1.0053,0.25914,-0.0005122,0.38,0,0
0.1908,0,0.5961,-0.95609,-0.87737,-1.1461,-2.9843e-05,0,0,0.24707,0.3494,0,-7.7592e-05,0,0,0.95285,0.0067654,0,0.95288,-0.87737,-0.95609,-1.1461,-89.978,-0.9932,0.23932,-0.00045583,0.4,0,0
0.19558,0,0.57718,-0.94747,-0.86907,-1.1221,0.00061834,0,0,0.22707,0.32899,0,0.0016077,0,0,0.94262,0.0035683,0,0.94262,-0.86906,-0.94748,-1.1221,89.548,-0.97956,0.22439,-0.00035045,0.42,0,0
0.19989,0,0.5584,-0.94399,-0.85285,-1.0975,0.0012817,0,0,0.19949,0.31798,0,0.0033326,0,0,0.93836,0.00048921,0,0.93836,-0.85283,-0.94401,-1.0975,89.195,-0.96476,0.21412,-0.0002137,0.44,0,0
0.20356,0,0.53964,-0.94511,-0.82956,-1.072,0.0019862,0,0,0.16501,0.31523,0,0.0051642,0,0,0.9396,-0.0021104,0,0.9396,-0.82952,-0.94515,-1.072,89.016,-0.9489,0.21011,-3.8301e-05,0.46,0,0
0.20649,0,0.52081,-0.9503,-0.79973,-1.0458,0.0026799,0,0,0.12418,0.31992,0,0.0069679,0,0,0.9453,-0.0040481,0,0.94531,-0.79969,-0.95035,-1.0458,88.981,-0.93195,0.21494,0.00019212,0.48,0,0
0.20853,0,0.50183,-0.95892,-0.7642,-1.0188,0.0032707,0,0,0.077805,0.33093,0,0.0085037,0,0,0.95419,-0.0052828,0,0.9542,-0.76415,-0.95897,-1.0188,89.038,-0.91396,0.23061,0.00049001,0.5,0,0
0.2096,0,0.48265,-0.97004,-0.72438,-0.99097,0.0036665,0,0,0.027214,0.34657,0,0.0095329,0,0,0.96495,-0.0058704,0,0.96496,-0.72432,-0.97009,-0.99097,89.145,-0.89513,0.25684,0.00085087,0.52,0,0
0.20962,0,0.46323,-0.98251,-0.68224,-0.96266,0.0038188,0,0,-0.025806,0.36454,0,0.0099289,0,0,0.97644,-0.0059281,0,0.97646,-0.68219,-0.98256,-0.96266,89.272,-0.8758,0.29092,0.0012447,0.54,0,0
0.20857,0,0.44359,-0.99511,-0.64,-0.93412,0.00374,0,0,-0.079287,0.38236,0,0.0097239,0,0,0.98776,-0.0056018,0,0.98778,-0.63996,-0.99515,-0.93412,89.397,-0.85641,0.32895,0.0016181,0.56,0,0
0.20645,0,0.42372,-1.0067,-0.5996,-0.90562,0.0034934,0,0,-0.13144,0.39783,0,0.0090827,0,0,0.99828,-0.0050351,0,0.99829,-0.59957,-1.0068,-0.90562,89.508,-0.83732,0.36722,0.0019079,0.58,0,0
0.20331,0,0.40366,-1.0166,-0.56245,-0.87736,0.0031622,0,0,-0.18095,0.40938,0,0.0082217,0,0,1.0076,-0.0043472,0,1.0076,-0.56243,-1.0166,-0.87736,89.601,-0.81878,0.40299,0.0020591,0.6,0,0
0.19921,0,0.38342,-1.0241,-0.5293,-0.84944,0.002819,0,0,-0.22706,0.41618,0,0.0073294,0,0,1.0156,-0.003622,0,1.0156,-0.52929,-1.0241,-0.84944,89.674,-0.80095,0.43466,0.0020384,0.62,0,0
0.19423,0,0.36303,-1.0292,-0.50033,-0.82191,0.0025076,0,0,-0.26954,0.41805,0,0.0065199,0,0,1.0221,-0.0029083,0,1.0221,-0.50032,-1.0292,-0.82191,89.728,-0.78382,0.46162,0.0018372,0.64,0,0
0.18843,0,0.34253,-1.0321,-0.47532,-0.79475,0.0022425,0,0,-0.30852,0.41526,0,0.0058305,0,0,1.0273,-0.002227,0,1.0273,-0.47531,-1.0321,-0.79475,89.769,-0.76738,0.48393,0.0014672,0.66,0,0
0.18188,0,0.32194,-1.0328,-0.45385,-0.76794,0.002016,0,0,-0.34433,0.40832,0,0.0052416,0,0,1.0311,-0.0015798,0,1.0311,-0.45384,-1.0328,-0.76794,89.8,-0.75153,0.50202,0.00095263,0.68,0,0
0.17466,0,0.30129,-1.0317,-0.43541,-0.74143,0.0018096,0,0,-0.37738,0.39782,0,0.0047049,0,0,1.0336,-0.00095722,0,1.0336,-0.43541,-1.0317,-0.74143,89.826,-0.73619,0.51649,0.00032309,0.7,0,0
0.16679,0,0.2806,-1.029,-0.4195,-0.71516,0.0016019,0,0,-0.40804,0.38436,0,0.0041649,0,0,1.035,-0.00034423,0,1.035,-0.4195,-1.029,-0.71516,89.849,-0.72123,0.52796,-0.00039107,0.72,0,0
0.15833,0,0.25989,-1.025,-0.40561,-0.68907,0.001375,0,0,-0.43667,0.36849,0,0.0035749,0,0,1.035,0.00027608,0,1.035,-0.40561,-1.025,-0.68907,89.873,-0.70655,0.53702,-0.0011615,0.74,0,0
0.14932,0,0.2392,-1.0197,-0.39325,-0.66308,0.001118,0,0,-0.4636,0.35078,0,0.0029068,0,0,1.0338,0.00091922,0,1.0338,-0.39325,-1.0197,-0.66308,89.898,-0.69201,0.54425,-0.0019636,0.76,0,0
0.13979,0,0.21854,-1.0134,-0.38192,-0.63714,0.00083069,0,0,-0.48916,0.33179,0,0.0021598,0,0,1.0312,0.0015957,0,1.0313,-0.38192,-1.0134,-0.63714,89.925,-0.67749,0.55023,-0.002778,0.78,0,0
0.12976,0,0.19795,-1.0064,-0.37106,-0.61117,0.00052546,0,0,-0.51374,0.31215,0,0.0013662,0,0,1.0273,0.002306,0,1.0273,-0.37106,-1.0064,-0.61117,89.953,-0.66286,0.55562,-0.0035923,0.8,0,0
0.11924,0,0.17745,-0.99881,-0.36002,-0.5851,0.00022779,0,0,-0.53783,0.2926,0,0.00059226,0,0,1.022,0.0030342,0,1.022,-0.36002,-0.99881,-0.5851,89.98,-0.64797,0.56119,-0.0044044,0.82,0,0
0.10824,0,0.15707,-0.99116,-0.34804,-0.55883,-2.789e-05,0,0,-0.56203,0.27403,0,-7.2515e-05,0,0,1.0153,0.0037404,0,1.0153,-0.34804,-0.99116,-0.55883,-89.998,-0.63267,0.56787,-0.0052246,0.84,0,0
0.096759,0,0.13684,-0.98384,-0.3343,-0.53228,-0.00020785,0,0,-0.58703,0.25738,0,-0.0005404,0,0,1.0072,0.0043567,0,1.0073,-0.3343,-0.98384,-0.53228,-89.982,-0.61681,0.57664,-0.0060771,0.86,0,0
0.084763,0,0.11678,-0.97729,-0.31804,-0.50538,-0.00029318,0,0,-0.61349,0.24354,0,-0.00076227,0,0,0.99826,0.0047899,0,0.99828,-0.31804,-0.97729,-0.50538,-89.975,-0.60024,0.58839,-0.0069983,0.88,0,0
0.07222,0,0.096906,-0.97184,-0.29878,-0.47809,-0.00028991,0,0,-0.64187,0.2331,0,-0.00075376,0,0,0.98876,0.0049359,0,0.98877,-0.29878,-0.97184,-0.47809,-89.975,-0.5829,0.60371,-0.0080307,0.9,0,0
0.059088,0,0.077227,-0.96762,-0.27646,-0.45045,-0.00022893,0,0,-0.67232,0.22619,0,-0.00059522,0,0,0.97939,0.004704,0,0.9794,-0.27646,-0.96762,-0.45045,-89.981,-0.56485,0.62267,-0.0092128,0.92,0,0
0.045327,0,0.057731,-0.96457,-0.25155,-0.42257,-0.00015068,0,0,-0.70461,0.22232,0,-0.00039176,0,0,0.97092,0.0040452,0,0.97093,-0.25155,-0.96457,-0.42257,-89.988,-0.54623,0.64476,-0.01057,0.94,0,0
0.030904,0,0.038391,-0.96246,-0.22489,-0.39459,-8.5666e-05,0,0,-0.73822,0.22062,0,-0.00022273,0,0,0.96415,0.0029742,0,0.96415,-0.22489,-0.96246,-0.39459,-89.993,-0.52731,0.66906,-0.01211,0.96,0,0
0.015798,0,0.019165,-0.96098,-0.19739,-0.36668,-4.063e-05,0,0,-0.77259,0.22007,0,-0.00010564,0,0,0.95976,0.0015772,0,0.95976,-0.19739,-0.96098,-0.36668,-89.997,-0.50835,0.69459,-0.013826,0.98,0,0
0,0,0,-0.93643,-0.15963,-0.32882,-2.1352e-17,0,0,-0.7899,0.21995,0,-5.5593e-17,0,0,0.95825,3.2092e-17,0,0.95825,-0.15963,-0.93643,-0.32882,-90,-0.47496,0.70755,-0.014745,1,0,0
0,0.0061048,1,-0.93137,-1.495,-1.7279,0.0023941,0,0,1.0355,0.30274,0,0.0062248,0,0,0.88426,6.8044e-16,0,0.88424,-0.93136,-1.4951,-1.7279,0.24335,-1.3848,0.7094,0.011897,0,0.02,0
0.02071,0.0062293,0.98232,-0.9122,-1.4551,-1.6925,0.0060697,0,0,1.0144,0.30861,0,0.015781,0,0,0.889,-0.0095374,0,0.88905,-0.91213,-1.4552,-1.6925,0.64045,-1.3533,0.6929,0.010574,0.02,0.02,0
0.040576,0.0066318,0.96444,-0.92172,-1.4126,-1.6647,0.013485,0,0,0.96592,0.32777,0,0.03506,0,0,0.90282,-0.018298,0,0.90305,-0.92135,-1.413,-1.6647,1.5723,-1.333,0.65487,0.0075705,0.04,0.02,0
0.059347,0.0073696,0.9462,-0.9395,-1.3547,-1.6345,0.022643,0,0,0.90347,0.36366,0,0.058871,0,0,0.92443,-0.02532,0,0.92487,-0.93827,-1.356,-1.6345,3.112,-1.3096,0.60694,0.003881,0.06,0.02,0
0.076715,0.0084882,0.92746,-0.96608,-1.2778,-1.6006,0.032386,0,0,0.82491,0.41968,0,0.084203,0,0,0.95158,-0.029564,0,0.95216,-0.96275,-1.2811,-1.6006,5.8692,-1.2815,0.55241,-2.6379e-05,0.08,0.02,0
0.092344,0.0099557,0.90814,-0.99993,-1.1816,-1.5626,0.039841,0,0,0.73146,0.49532,0,0.10359,0,0,0.98123,-0.030402,0,0.98183,-0.99158,-1.1899,-1.5626,11.843,-1.248,0.50213,-0.00325,0.1,0.02,0
0.10597,0.011617,0.88821,-1.0374,-1.0736,-1.5215,0.04173,0,0,0.62935,0.58228,0,0.1085,0,0,1.0102,-0.028015,0,1.0107,-1.01,-1.101,-1.5215,33.272,-1.2108,0.47263,-0.0047521,0.12,0.02,0
0.11752,0.013227,0.86773,-1.0737,-0.96788,-1.4802,0.037109,0,0,0.52846,0.66602,0,0.096483,0,0,1.0357,-0.023399,0,1.0361,-0.95616,-1.0854,-1.4802,72.478,-1.1739,0.47286,-0.0040933,0.14,0.02,0
0.12711,0.014551,0.84678,-1.1041,-0.877,-1.4411,0.027914,0,0,0.43808,0.73337,0,0.072577,0,0,1.0563,-0.017823,0,1.0565,-0.87362,-1.1075,-1.4411,83.096,-1.1408,0.494,-0.0018489,0.16,0.02,0
0.13504,0.015451,0.82548,-1.1257,-0.80707,-1.4053,0.017341,0,0,0.36352,0.7777,0,0.045087,0,0,1.0715,-0.012259,0,1.0715,-0.80613,-1.1266,-1.4053,86.894,-1.1127,0.51932,0.00086626,0.18,0.02,0
0.14165,0.015891,0.80393,-1.1373,-0.75836,-1.3726,0.0075125,0,0,0.3059,0.79855,0,0.019533,0,0,1.0812,-0.0070911,0,1.0812,-0.75821,-1.1375,-1.3726,88.865,-1.0894,0.53696,0.0031241,0.2,0.02,0
0.14728,0.015899,0.78223,-1.1398,-0.72884,-1.3428,-0.0010208,0,0,0.26395,0.79817,0,-0.002654,0,0,1.0859,-0.0022494,0,1.0859,-0.72884,-1.1398,-1.3428,-89.858,-1.0705,0.54179,0.004471,0.22,0.02,0
0.15221,0.015515,0.76049,-1.1339,-0.71642,-1.3156,-0.0087648,0,0,0.23618,0.77893,0,-0.022789,0,0,1.0857,0.0025542,0,1.0857,-0.71623,-1.1341,-1.3156,-88.798,-1.0553,0.53234,0.0048214,0.24,0.02,0
